SVM,KNeighborsClassifier,Common_Features,LogisticRegression,DecisionTreeClassifier,XGBoost
MAP2K2_logCR,CD79B_logCR,,MST1R_logCR,FAT1_logCR,FBXW7_logCR
KEAP1_logCR,GNA13_logCR,,PBRM1_logCR,RICTOR_logCR,MAP3K1_logCR
CALR_logCR,PRKAR1A_logCR,,GATA2_logCR,FGF10_logCR,RASA1_logCR
NOTCH3_logCR,SOX9_logCR,,ATR_logCR,PLK2_logCR,FGFR4_logCR
BRD4_logCR,H3F3B_logCR,,PIK3CA_logCR,NPM1_logCR,NSD1_logCR
MEF2B_logCR,SRSF2_logCR,,DCUN1D1_logCR,HIST1H1C_logCR,DDX41_logCR
KMT2B_logCR,RPTOR_logCR,,EIF4A2_logCR,HIST1H2BD_logCR,HIST1H3D_logCR
AXL_logCR,GATA6_logCR,,TFRC_logCR,HIST1H3E_logCR,HIST1H3E_logCR
BBC3_logCR,SMAD4_logCR,,KIT_logCR,HIST1H3F_logCR,HIST1H3F_logCR
MYCN_logCR,MALT1_logCR,,KDR_logCR,HIST1H3G_logCR,HIST1H3G_logCR
CENPA_logCR,BCL2_logCR,,FGF5_logCR,HIST1H3H_logCR,NOTCH4_logCR
EML4_logCR,TCF3_logCR,,FAM175A_logCR,HIST1H3J_logCR,PIM1_logCR
EPCAM_logCR,KEAP1_logCR,,FAT1_logCR,PIM1_logCR,PRDM1_logCR
XPO1_logCR,CALR_logCR,,TERT_logCR,LATS1_logCR,FYN_logCR
INPP4A_logCR,NOTCH3_logCR,,IL7R_logCR,CUX1_logCR,IFNGR1_logCR
ERCC3_logCR,BRD4_logCR,,RICTOR_logCR,KEL_logCR,TNFAIP3_logCR
PMS1_logCR,JAK3_logCR,,FGF10_logCR,KMT2C_logCR,ESR1_logCR
STAT4_logCR,MEF2B_logCR,,PLK2_logCR,GATA4_logCR,PMS2_logCR
IDH1_logCR,ERCC1_logCR,,SNCAIP_logCR,NKX3.1_logCR,RAC1_logCR
BARD1_logCR,PPP2R1A_logCR,,RAD50_logCR,KAT6A_logCR,MAGI2_logCR
CUL3_logCR,DNMT3A_logCR,,CTNNA1_logCR,PRKDC_logCR,BRAF_logCR
BCL2L1_logCR,XPO1_logCR,,CSF1R_logCR,PREX2_logCR,EZH2_logCR
SRC_logCR,RANBP2_logCR,,PDGFRB_logCR,RAD21_logCR,GATA4_logCR
TOP1_logCR,ERCC3_logCR,,FGFR4_logCR,MYC_logCR,NKX3.1_logCR
PTPRT_logCR,PDK1_logCR,,HIST1H3C_logCR,RECQL4_logCR,NRG1_logCR
AURKA_logCR,STAT4_logCR,,HIST1H1C_logCR,CD274_logCR,GPR124_logCR
GNAS_logCR,CASP8_logCR,,HIST1H2BD_logCR,PTPRD_logCR,KAT6A_logCR
ARFRP1_logCR,IDH1_logCR,,HIST1H3D_logCR,MLLT3_logCR,PREX2_logCR
TMPRSS2_logCR,ERBB4_logCR,,HIST1H3I_logCR,CDKN2B_logCR,NBN_logCR
MAPK1_logCR,BARD1_logCR,,HLA.A_logCR,HNRNPK_logCR,MYC_logCR
SMARCB1_logCR,CUL3_logCR,,NOTCH4_logCR,FANCC_logCR,JAK2_logCR
NF2_logCR,IRS1_logCR,,DAXX_logCR,TGFBR1_logCR,CD274_logCR
EP300_logCR,ASXL1_logCR,,CCND3_logCR,KLF4_logCR,PDCD1LG2_logCR
VHL_logCR,DNMT3B_logCR,,PRDM1_logCR,TSC1_logCR,MLLT3_logCR
PPARG_logCR,SRC_logCR,,WISP3_logCR,NOTCH1_logCR,GNAQ_logCR
MLH1_logCR,AURKA_logCR,,LATS1_logCR,EGFL7_logCR,HNRNPK_logCR
MYD88_logCR,GNAS_logCR,,ZBTB2_logCR,TRAF2_logCR,BCOR_logCR
MST1_logCR,RUNX1_logCR,,PARK2_logCR,CRLF2_logCR,ARAF_logCR
MITF_logCR,CRKL_logCR,,QKI_logCR,BCOR_logCR,AMER1_logCR
FOXP1_logCR,BCR_logCR,,CARD11_logCR,ARAF_logCR,AR_logCR
EPHB1_logCR,SMARCB1_logCR,,PMS2_logCR,MED12_logCR,XIAP_logCR
PIK3CB_logCR,EWSR1_logCR,,ETV1_logCR,XIAP_logCR,PHF6_logCR
TERC_logCR,SOX10_logCR,,INHBA_logCR,STAG2_logCR,
SOX2_logCR,EP300_logCR,,GRM3_logCR,,
KLHL6_logCR,FANCD2_logCR,,CDK6_logCR,,
MAP3K13_logCR,TGFBR2_logCR,,PIK3CG_logCR,,
ETV5_logCR,MLH1_logCR,,MET_logCR,,
EIF4A2_logCR,CTNNB1_logCR,,KEL_logCR,,
TP63_logCR,PBRM1_logCR,,RHEB_logCR,,
TFRC_logCR,FOXP1_logCR,,KMT2C_logCR,,
DHX15_logCR,EPHA3_logCR,,GATA4_logCR,,
PHOX2B_logCR,GATA2_logCR,,NKX3.1_logCR,,
KIT_logCR,EPHB1_logCR,,FGFR1_logCR,,
EPHA5_logCR,TERC_logCR,,PRKDC_logCR,,
IRF2_logCR,PIK3CA_logCR,,PREX2_logCR,,
SDHA_logCR,SOX2_logCR,,TCEB1_logCR,,
TERT_logCR,MAP3K13_logCR,,RUNX1T1_logCR,,
MAP3K1_logCR,ETV5_logCR,,JAK2_logCR,,
MSH3_logCR,EIF4A2_logCR,,CD274_logCR,,
SNCAIP_logCR,TP63_logCR,,PTPRD_logCR,,
FGF1_logCR,TFRC_logCR,,CDKN2B_logCR,,
GABRA6_logCR,SLIT2_logCR,,PAX5_logCR,,
FLT4_logCR,PDGFRA_logCR,,NTRK2_logCR,,
E2F3_logCR,KIT_logCR,,TGFBR1_logCR,,
HIST1H3A_logCR,KDR_logCR,,TSC1_logCR,,
HIST1H2BD_logCR,INPP4B_logCR,,EIF1AX_logCR,,
HIST1H3G_logCR,FBXW7_logCR,,BCOR_logCR,,
NOTCH4_logCR,IRF2_logCR,,ARAF_logCR,,
DAXX_logCR,IL7R_logCR,,STAG2_logCR,,
FANCE_logCR,RICTOR_logCR,,,,
CDKN1A_logCR,MAP3K1_logCR,,,,
PIM1_logCR,PIK3R1_logCR,,,,
CCND3_logCR,SNCAIP_logCR,,,,
ROS1_logCR,FGF1_logCR,,,,
ESR1_logCR,CSF1R_logCR,,,,
MAP3K4_logCR,CD74_logCR,,,,
RAC1_logCR,NSD1_logCR,,,,
ETV1_logCR,IRF4_logCR,,,,
INHBA_logCR,E2F3_logCR,,,,
IKZF1_logCR,HIST1H3A_logCR,,,,
MAGI2_logCR,HIST1H2BD_logCR,,,,
HGF_logCR,HIST1H3D_logCR,,,,
GRM3_logCR,HIST1H3E_logCR,,,,
BRAF_logCR,HIST1H3F_logCR,,,,
EZH2_logCR,HIST1H3G_logCR,,,,
XRCC2_logCR,HIST1H3J_logCR,,,,
NKX3.1_logCR,NOTCH4_logCR,,,,
PPP2R2A_logCR,FANCE_logCR,,,,
GPR124_logCR,VEGFA_logCR,,,,
KAT6A_logCR,EPHA7_logCR,,,,
PRKDC_logCR,PRDM1_logCR,,,,
LYN_logCR,WISP3_logCR,,,,
MYC_logCR,MYB_logCR,,,,
RECQL4_logCR,TNFAIP3_logCR,,,,
PTPRD_logCR,ZBTB2_logCR,,,,
MLLT3_logCR,MAP3K4_logCR,,,,
CDKN2A_logCR,QKI_logCR,,,,
SYK_logCR,EGFR_logCR,,,,
FANCC_logCR,GRM3_logCR,,,,
PTCH1_logCR,PIK3CG_logCR,,,,
TGFBR1_logCR,MET_logCR,,,,
TSC1_logCR,KEL_logCR,,,,
NOTCH1_logCR,RHEB_logCR,,,,
TRAF2_logCR,XRCC2_logCR,,,,
KDM6A_logCR,GPR124_logCR,,,,
AMER1_logCR,FGFR1_logCR,,,,
AR_logCR,KAT6A_logCR,,,,
TAF1_logCR,PRKDC_logCR,,,,
XIAP_logCR,LYN_logCR,,,,
STAG2_logCR,PREX2_logCR,,,,
