importances,feature_names,std
0.0033750862663906134,FGF7_logCR,0.02474735575066603
0.003333333333333333,CENPA_logCR,0.03316624790355403
0.0032727272727272726,CSF1R_logCR,0.03256322521439851
0.0032709045340624282,ETV4_Missense_Mutation,0.02333773220907309
0.0032592592592592595,PPP6C_logCR,0.03242922017236391
0.003208020050125314,PTPRD_logCR,0.03191939647860841
0.0031999999999999997,FGF5_logCR,0.03183959798741176
0.0031968031968031972,CHD2_logCR,0.03180779019721463
0.0031668648811505958,ATR_logCR,0.03150990771758994
0.003116883116883117,PRKDC_logCR,0.03101259544228424
0.0031100478468899513,MAX_logCR,0.030944585364559966
0.0030864197530864196,HIST1H3B_logCR,0.030709488799587053
0.0030745098039215686,BCL2L2_logCR,0.03059098630163098
0.0030119743803954323,EIF4E_logCR,0.029968766693804456
0.003002970885323827,SUZ12_logCR,0.029879183048941545
0.0029333333333333334,RPS6KB1_logCR,0.029186298155127587
0.002878306878306879,PGR_logCR,0.02863879184052913
0.0028650793650793656,CD274_logCR,0.028507179745673825
0.002834602076124566,CEBPA_logCR,0.028203934549402853
0.0028037661684720506,RAF1_logCR,0.02487012468241193
0.002788671023965142,TRAF2_logCR,0.0277469263506857
0.00276923076923077,ANKRD11_logCR,0.02755349825833722
0.0027481028775146426,SDHC_logCR,0.022416832797708584
0.0027305277842362254,RHOA_logCR,0.019177311287596047
0.0026888888888888882,ROS1_logCR,0.026754106642200202
0.002675585284280938,LAMP1_logCR,0.02662173744766876
0.002632034632034632,PPP2R1A_logCR,0.026188413929040092
0.002520191409897293,SDHA_logCR,0.017697237233005963
0.0024691358024691353,GNAQ_logCR,0.024567591039669656
